Name,Ticker,Sub-Sector,Market Cap,Close Price,PE Ratio,Return on Equity,Return on Assets,Net Profit Margin,5Y Avg EBITDA Margin,EBITDA Margin,1Y Return vs Nifty,5Y CAGR,Debt to Equity,Long Term Debt to Equity,Net Income / Liabilities,5Y Historical Revenue Growth,5Y Historical EBITDA Growth,5Y Hist Op. Cash Flow Growth,5Y Historical EPS Growth,Forward PE Ratio,Enterprise Value,PB Ratio,Dividend Yield,PE Premium vs Sector,Domestic Institutional Holding,Mutual Fund Holding,Promoter Holding,Foreign Institutional Holding,Retail Investor Holding,Pledged Promoter Holdings,Insurance Firms Holding,No. of Shareholders,Total Revenue,Net Income,PBT,Earnings Per Share,EBITDA,Long Term Investments,Reserves & Surplus,Cash and Equivalent,Book Value,Free Cash Flow,Operating Cash Flow
Astron Paper & Board Mill Ltd,ASTRON,Paper Products,212.505,46.1,20.6918208373905,6.01887124186835,3.15050003067672,2.34973802823346,11.5463256120446,7.72187521449653,-11.5636046424357,,32.8458430546862,7.65947760769362,6.96649029982362,22.5917606437493,11.1994535877474,17.3048498008364,3.34196419390962,,259.565,1.20926990269163,,-15.0627697776548,0,0,27.060752688172,0.149193548387097,,,,,,,,,,,,,,,
Vipul Organics Ltd,VIPULORG,Specialty Chemicals,212.4395875,217.8,31.1038927525622,18.8283942108891,6.73669675001234,5.72266443234186,9.02261826539674,14.0175953079179,20.6673390170794,18.0751028649192,69.3548387096774,25.2853598014888,10.249099639856,17.7970232557769,41.4929446794376,,36.6067535164239,,234.0495875,5.27145378411911,0.404564427051526,27.6774296615589,0.000975657349138982,0.00097565734913898,66.2188399434119,0,,,,,,,,,,,,,,,
Ponni Sugars (Erode) Ltd,PONNIERODE,Sugar,211.65005907,251.15,8.24824859976617,8.94279192151533,7.42229871425886,9.77337649971435,11.7070051142843,13.8792610931251,53.5398835613564,3.16665592093741,0,0,51.7547398144413,7.63825260945481,20.8612944409477,36.9044420214265,68.3063920534521,,189.27005907,0.648417815232377,2.03128173877717,-81.2989819505415,0.0470681076688817,0.0470681076688817,42.6485879860411,22.3297542447647,,,,,,,,,,,,,,,
One Point One Solutions Ltd,ONEPOINT,Outsourced services,211.566947625,11.1,-15.176968983142,-27.6669643743178,-8.24949698189136,-12.8054381774757,15.7076708423126,13.9720742237736,882.901247965274,,229.769585253456,191.797235023042,,5.27910895255148,17.058949912518,-24.9500958499896,,,309.456947625,4.87481446140553,,-139.150207972134,0,0,70.1274483280715,4.16933450570691,,,,,,,,,,,,,,,
Avonmore Capital & Management Services Ltd,AVONMORE,Investment Banking & Brokerage,211.399539,90.85,9.6927803301238,9.5634824932582,7.45284308365226,23.1454950652658,24.0772587393302,37.2917329937387,358.31378060235,49.2924236671157,8.227224184671,5.80382814425368,33.0755232029117,11.3207173965991,63.9113629625051,,159.588259203998,,264.709539,0.8683132300994,,-63.2610284632209,0.0107124169272668,0,62.7083832902777,0,,,,,,,,,,,,,,,
Revathi Equipment Ltd,REVATHI,Heavy Machinery,210.898335395,685.3,40.4019799607279,2.68691288122507,1.82021061440826,3.76243332852819,8.27273875424388,9.54303012829754,22.2339084416567,-3.02950391941095,18.1146218312425,0.223830097340066,4.41400304414004,-11.9880363041667,-22.9892491822594,,-28.1390953900594,,225.268335395,1.09779988233304,,-32.6968863163312,0.00326057575898867,0,72.5789165302387,0,,,,,,,,,,,,,,,
Career Point Ltd,CAREERP,Education Services,210.85616301,112.15,1621.97048469222,0.028985184111661,0.0239197033956792,0.227034579112831,38.931538250053,26.1962975899406,-34.7717034487941,-0.379065921039312,16.0237521207251,4.78837396196089,0.136311208975576,-7.95578261901366,-13.7079586760983,,-61.0578726889628,,245.66616301,0.470703105210287,0.862812769628991,234.09681185572,0,0,63.6818658051896,0.0772882270423707,,,,,,,,,,,,,,,
GPT Infraprojects Ltd,GPTINFRA,Construction & Engineering,210.72807,72.9,10.4166124567475,8.62153465873974,2.79319581365806,3.28457079768146,14.6524500089336,14.9388709389359,67.2974743803684,-8.87941973615163,108.381085872119,13.336356515645,4.23771418995347,3.74885729384546,3.45195783423735,-17.7967732935217,26.5793033648811,,455.67807,0.86873096425774,3.45065562456867,-82.6476214023011,2.3677851887506,2.3677851887506,74.9984872447225,0.000103142405280891,,,,,,,,,,,,,,,
IRIS Business Services Ltd,IRIS,IT Services & Consulting,209.95841985,109.5,76.907846098901,10.4738154613466,4.78527607361964,4.82332155477032,3.52851173299781,17.8975265017668,168.316832380858,,22.6710334788937,0.509461426491997,9.2920353982301,10.18506437967,,7.99450927727683,,,207.75841985,7.64040829148472,,98.3899534093589,0,0,38.1005217876715,0,,,,,,,,,,,,,,,
Shah Alloys Ltd,SHAHALLOYS,Iron & Steel,209.9529117,111.35,-3.76259698387097,,-15.1640736463075,-10.2796507129435,11.7763173132589,10.5209830146273,1156.4726765367,45.1205192491694,,,,1.27581344489385,-24.3560257411667,3.05870867572313,,,376.2329117,-3.83966553950256,,-115.444970685009,0,0,53.8046191597542,0.013895665825148,,,,,,,,,,,,,,,
DHP India Ltd,DHPIND,Industrial Machinery,209.685,700,9.06158167675022,26.011690647482,23.6038149640435,28.4414945919371,28.4138673460286,37.2295968534907,65.8375702524735,13.0644695846489,0.530164533820841,0,218.301886792453,16.0519088767759,29.0582530252831,-0.951044458592287,36.5176194300038,,131.645,1.91668190127971,0.572287001931469,-84.9048818316086,0,0,73.4246333333333,0,,,,,,,,,,,,,,,
Haldyn Glass Ltd,HALDYNGL,Packaging,209.094113,38.85,27.842092276964,5.30948425182934,4.17976902741061,4.10809036704776,12.445400129947,13.8559159783382,3.99398366851977,-2.59136459176631,2.36029156542867,,17.8173190984579,4.8884074172066,4.87003790620693,9.03596775494766,2.43140778551003,,174.434113,1.45153844498438,1.54241645244216,14.2881634334943,0,0,57.2033758932276,0.0399987349237326,,,,,,,,,,,,,,,
Sundaram Multi Pap Ltd,SUNDARAM,Paper Products,208.50622012,4.2,-23.5866764841629,-9.2720788756031,-5.78174564243435,-16.6666666666667,7.17640299012968,1.90422322775266,195.012359076385,7.68873080616561,48.1962164540255,22.316322041355,,-12.3759079122467,-30.2548535834926,-24.7232403132357,,,251.95622012,2.29329322613286,,-196.820235708554,1.93087764848595,0,31.050113211366,0,,,,,,,,,,,,,,,
Walchandnagar Industries Ltd,WALCHANNAG,Industrial Machinery,208.24402135,53.45,-3.6380856280573,-23.8108113729487,-5.71211879291075,-16.3230387543845,17.6169051968398,12.8924629994011,-31.5259672245994,-17.9062673931506,194.076803174153,49.8134240234283,,-15.5546538508245,-4.1834956436836,252.91549168816,,,571.00402135,0.983628649331633,,-106.060457701679,0.227776551242632,0.0118202673192855,30.0200511134626,0.102849459308139,,,,,,,,,,,,,,,
SPML Infra Ltd,SPMLINFRA,Construction & Engineering,207.9903163,53.95,-1.76622211531929,-34.7636127470516,-4.11822408580566,-15.7724143473253,8.0647617990919,-6.6673809970266,376.595311892215,-1.88980358922617,664.469604096055,234.491959327901,,-18.6370545183254,,,,,2006.7603163,0.749947055239056,,-102.94223817579,2.93062247680904,0,34.8131995321986,0.00432210037033095,,,,,,,,,,,,,,,
Macpower CNC Machines Ltd,MACPOWER,Industrial Machinery,207.2861952,206.3,34.3758200995026,8.68125539879065,5.19402213704293,5.32544378698224,8.53292827163624,8.41649739468337,118.333066147092,,0.303573892645233,0.179384572926728,9.74151857835216,12.0313141611706,31.3229454128437,28.5527226256288,-6.58267631605236,,182.8061952,2.86030350765834,,-42.7354864693496,4.10945046860506,0,72.9948641365192,6.91712247704955,,,,,,,,,,,,,,,
AJR Infra and Tolling Ltd,AJRINFRA,Construction & Engineering,207.20275928,2.1,-0.888100635549269,-96.700791644216,-6.10394044400143,-91.7748406891669,46.2772359597687,38.9387144992526,163.901247965274,-10.9492451019771,475.082540299087,363.759953389007,,-30.9878952653536,-29.6337118645802,-17.2000582363228,,,517.11275928,2.01206796737231,,-101.479430911431,7.17599588522236,0,20.5981600574755,10.206217800132,,,,,,,,,,,,,,,
Mercantile Ventures Ltd,MERCANTILE,Real Estate,207.04866075,18.6,18.242172753304,4.06737143881025,3.82683165312384,25.6497175141243,2.92606948908459,25.6949152542373,32.701247965274,12.3732957103661,0.0612390705269962,0,62.2941822173436,11.7859088950249,5.13890238043535,,21.6576346360023,,175.16866075,0.704414863232743,,-80.00044062727,0.000089350976398431,0,64.7120944007362,0,,,,,,,,,,,,,,,
Uday Jewellery Industries Ltd,UDAYJEW,"Precious Metals, Jewellery & Watches",207.00586,94.9,35.6906655172414,11.6209176517732,9.2364041723067,6.14276636305867,7.54499384090296,9.10823977970768,-29.6688795392797,36.7417520880534,24.6165498958531,0,41.2811387900355,23.6998802508807,29.0795497678661,,12.6406106635776,,218.36586,3.9198231395569,,102.950734618194,0.00000454093425181297,0,73.526076314941,0,,,,,,,,,,,,,,,
SBI Nifty Bank ETF,SETFNIFBK,Equity,206.75510913,359.99,,,,,,,-10.3313293058507,11.0433357563785,,,,,,,,,206.75510913,,0,,,,,,,,,,,,,,,,,,,,
Indian Terrain Fashions Ltd,INDTERRAIN,Apparel & Accessories,206.69117555,51.3,-6.72166424552845,-14.8335745296672,-6.34760081331861,-13.6946646477242,8.82038080246953,-3.24218402066447,49.1186392696218,-21.0125250165706,57.5977428456268,30.7537283353487,,-7.42126938114116,,-9.18812551197795,,,298.86117555,1.04137029196896,,99.4442847424187,3.65037354880921,3.65037354880921,28.3514779206547,7.32067570361254,,,,,,,,,,,,,,,
Abm International Ltd,ABMINTLLTD,,206.2116,92.5,20.2964173228347,56.8868980963045,34.2202761872684,7.84132129350929,1.45502473195492,9.27683877440765,57.6101681530675,17.5856647285042,0,0,128.607594936709,3.38359946298414,51.4207887441363,,26.2235082230307,,195.7016,8.99309201918884,,162.672235173446,0,0,74.6959183673469,0,,,,,,,,,,,,,,,
Par Drugs and Chemicals Ltd,PAR,Pharmaceuticals,205.54894438,164.65,17.689237898451,25.0377073906486,17.0243938173028,18.4649610678532,20.0355720039138,28.9051326871127,206.744385220176,,15.9547979314308,8.42750430951925,48.0761274306992,13.574988012513,20.2981920167681,13.1104223210063,90.1761408659583,,192.71894438,3.93696503313542,,-51.8885800890353,0,0,73.9772879100203,0,,,,,,,,,,,,,,,
Apollo Sindoori Hotels Ltd,APOLSINHOT,Restaurants & Cafes,204.742494,768.3,21.4165788702928,11.4251568568868,6.38120348429732,5.26663728514766,12.1652544510394,9.78404583516969,32.926560738041,5.96747783980358,27.6109215017065,21.6951080773606,14.8033446887582,-0.610091845969196,30.9629373395356,23.5157792469296,58.0291599900846,,206.812494,2.32926614334471,0.158760398806122,101.770620966576,0,0,64.6778187971081,0.0615289955391478,,,,,,,,,,,,,,,
Visa Steel Ltd,VISASTEEL,Iron & Steel,204.3684675,16.9,-0.170693962565148,,-48.6888202533911,-121.205494983853,-20.6776551515434,-106.481003431834,117.004696241136,-4.02155250152421,,,,-5.64563182776829,,,,,3666.3284675,-0.087101331654115,,-100.700676489996,0,0,58.8783957094555,21.9490929661152,,,,,,,,,,,,,,,
